Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
dubbo, 6160, 405, 7, 28, 22687, 38286, 69, 55, 625
kibble-1, 667, 9, 6, 4, 31, 56, 0, 6, 33
AlBERTo-it, 55, 1, 2, 1, 5, 65, 0, 0, 5
MaterialEditText, 9, 1, 1, 1, 0, 0, 0, 0, 1
search, 338, 29, 1, 5, 168, 351, 0, 4, 8
search, 73, 2, 3, 1, 161, 206, 0, 0, 2
the_silver_searcher, 2057, 200, 6, 55, 1326, 24554, 0, 124, 534
cron-as-a-service, 3, 1, 1, 1, 25, 71, 0, 3, 5
A3GridTableView, 11, 0, 1, 1, 33, 115, 0, 1, 3
q2a-open-login, 91, 9, 3, 2, 40, 58, 0, 1, 12
a33_bootloader, 2, 1, 20, 1, 10, 3, 0, 0, 0
hotshots-admin-angular2, 13, 1, 4, 1, 44, 39, 0, 0, 1
PinterestAnimator, 43, 1, 3, 1, 100, 658, 2, 2, 5
garb, 161, 4, 1, 1, 83, 663, 0, 3, 25
RedEnvelopeAssistant, 20, 2, 1, 1, 279, 573, 0, 0, 3
GTScrollNavigationBar, 90, 6, 3, 1, 85, 555, 0, 3, 13
APNS, 33, 6, 1, 1, 165, 547, 0, 15, 37
vue-tap, 86, 7, 2, 1, 110, 538, 0, 1, 17
apt-vim, 251, 6, 2, 2, 33, 478, 0, 0, 12
clank, 247, 3, 4, 3, 83, 890, 1, 1, 22
WCFastCell, 48, 2, 0, 1, 35, 528, 0, 0, 0
Core-Animation-Demos, 20, 1, 1, 1, 86, 507, 0, 0, 0
cordova-imagePicker, 95, 9, 3, 4, 353, 403, 5, 25, 194
node-control, 49, 2, 1, 1, 30, 390, 0, 5, 9
backbone-couchdb, 119, 13, 2, 3, 53, 362, 0, 8, 19
Swell, 25, 3, 3, 1, 33, 361, 1, 11, 16
Chain, 41, 1, 1, 2, 19, 347, 3, 2, 9
chef-libqt4, 3, 2, 1, 1, 738, 344, 0, 0, 0
flink, 32655, 283, 18, 109, 11356, 20509, 0, 972, 972
thrift, 6712, 324, 36, 32, 3742, 9538, 10, 38, 38
hive, 16577, 254, 25, 48, 3963, 4622, 0, 71, 71
tomcat, 24806, 91, 10, 6, 4353, 6466, 0, 14, 14
vscode, 104904, 346, 44, 642, 23794, 141743, 89, 328, 5888
Microsoft-Activation-Scripts, 74, 2, 2, 1, 2692, 23837, 6, 0, 0
funNLP, 143, 9, 1, 1, 11432, 46166, 0, 2, 12
Awesome, 523, 129, 0, 2, 2137, 21314, 0, 65, 107
awesome-dotnet-core, 1253, 227, 1, 1, 2513, 17350, 0, 131, 150
CNTK, 16117, 190, 20, 1074, 4313, 17300, 32, 86, 842
linux-command, 1056, 127, 5, 5, 4624, 22562, 23, 3, 56
linuxkit, 8110, 143, 10, 1, 942, 7662, 9, 40, 339
spring-analysis, 99, 5, 1, 8, 3952, 12285, 0, 7, 17
networkx, 7169, 424, 1, 8, 2751, 12137, 50, 221, 403
pandas, 31315, 413, 10, 16, 15360, 36640, 92, 146, 3681
roslyn, 94485, 274, 11, 262, 3721, 16962, 58, 446, 8727
insightface, 2145, 46, 7, 1, 4054, 13333, 0, 20, 1206
phpstan, 8845, 232, 4, 19, 818, 11613, 240, 6, 780
AudioKit, 12386, 175, 1, 4, 1436, 9562, 81, 5, 14
binwalk, 1235, 70, 3, 7, 1335, 8899, 9, 44, 168
TextBlob, 562, 28, 1, 10, 1076, 8412, 3, 12, 109
kubescape, 2092, 92, 8, 13, 638, 7719, 150, 14, 59
semgrep, 4716, 118, 40, 342, 423, 7639, 154, 15, 453
vue-analysis, 282, 31, 4, 27, 1597, 7318, 0, 38, 63
android-open-project-analysis, 1061, 59, 0, 3, 2187, 6655, 0, 1, 7
angr, 11676, 208, 4, 116, 943, 6340, 0, 55, 271
deepface, 904, 29, 4, 1, 1142, 5375, 0, 1, 3
pyAudioAnalysis, 775, 22, 5, 4, 1100, 5108, 0, 15, 187
angularUtils, 233, 27, 3, 1, 874, 2016, 0, 14, 84
awesome-chatgpt-prompts, 294, 55, 1, 1, 1625, 18216, 0, 100, 139
docs, 36063, 432, 6, 10, 57922, 12788, 0, 45, 146
frida, 3992, 36, 5, 1, 1249, 11458, 526, 1, 1222
essential-js-design-patterns, 537, 65, 3, 2, 684, 4197, 3, 8, 33
emscripten, 25099, 392, 12, 275, 2924, 23226, 0, 216, 1410
clojurescript, 6106, 185, 7, 25, 754, 9007, 79, 3, 3
marked, 2937, 149, 3, 1, 3137, 28981, 89, 3, 33
chibicc, 316, 1, 4, 4, 654, 7085, 0, 21, 84
tvm, 10062, 389, 21, 19, 2713, 8960, 11, 145, 560
