Country, #Users
Germany, 183937
Italy, 48156
UK, 98221
France, 112203
USA, 117501
Greece, 17314
Brazil, 141839
Poland, 60136
Spain, 51973
Portugal, 27765
Ukraine, 67189
Romania, 18072
Netherlands, 58267
Belgium, 24994
Sweden, 47241
Hungary, 12887
Belarus, 16323
Austria, 18496
Serbia, 11433
Switzerland, 32072
Bulgaria, 15465
Denmark, 23639
Finland, 23048
Slovakia, 6002
Norway, 23302
Ireland, 22937
Croatia, 6907
Moldova, 2313
Albania, 1484
Lithuania, 6552
Slovenia, 3982
Latvia, 4630
Estonia, 6774
Iceland, 2410
Andorra, 298
Monaco, 219
Liechtenstein, 198
Cameroon, 2163
Canada, 110122
Chad, 134
Chile, 23645
China, 189900
Colombia, 38326
Costa Rica, 488
Iran, 26427
Iraq, 3362
Japan, 80269
Mexico, 31577
Morocco, 8671
Pakistan, 43940
Qatar, 1325
Singapore, 34287
Uruguay, 7128
